sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Total deaths","Total affected","Total damage ('000 US$)","Disaster name","Disaster No."
/01/1919,/01/1919,Anguilla,AIA,,,,,Vaccinated,Epidemic,"Viral disease",--,0,0,0,,1919-0007
//1919,//1923,Anguilla,AIA,,,,,Km2,Drought,Drought,--,0,0,0,,1919-9006
/01/1920,/01/1920,Anguilla,AIA,,,,,Vaccinated,Epidemic,"Viral disease",--,0,0,0,,1920-0012
/01/1921,/01/1921,Anguilla,AIA,,,,,Vaccinated,Epidemic,"Viral disease",--,0,0,0,,1921-0005
/01/1922,/01/1922,Anguilla,AIA,,,,,Vaccinated,Epidemic,"Viral disease",--,0,0,0,,1922-0010
/01/1923,/01/1923,Anguilla,AIA,,,,,Vaccinated,Epidemic,"Viral disease",--,0,0,0,,1923-0017
02/01/1955,02/01/1955,Anguilla,AIA,,,,,Kph,Storm,"Tropical cyclone",--,0,0,0,Alice,1955-0025
04/09/1960,04/09/1960,Anguilla,AIA,"South Hille and West End",,,,Kph,Storm,"Tropical cyclone",--,5,1250,35000,Donna,1960-0026
03/09/1979,03/09/1979,Anguilla,AIA,,,,,Kph,Storm,"Tropical cyclone",--,0,0,0,Frederic,1979-0185
18/04/1983,18/04/1983,Anguilla,AIA,,,,,Kph,Storm,"Convective storm",--,0,0,160,,1983-0292
16/06/1983,16/06/1983,Anguilla,AIA,"East End area",,,,Km2,Flood,--,--,0,0,0,,1983-0293
07/11/1984,07/11/1984,Anguilla,AIA,,,,,Kph,Storm,"Tropical cyclone",--,0,0,2115,Klaus,1984-0200
17/11/1999,19/11/1999,Anguilla,AIA,,,,215,Kph,Storm,"Tropical cyclone",--,0,150,50,Lenny,1999-0528
06/09/2017,06/09/2017,Anguilla,AIA,,,,,Kph,Storm,"Tropical cyclone",--,4,15000,0,"Hurricane 'Irma'",2017-0381
01/09/1950,01/09/1950,"Antigua and Barbuda",ATG,,,,,Kph,Storm,"Tropical cyclone",--,2,0,1000,Dog,1950-0009
04/09/1960,04/09/1960,"Antigua and Barbuda",ATG,,,,,Kph,Storm,"Tropical cyclone",--,2,0,0,Donna,1960-0024
26/09/1966,26/09/1966,"Antigua and Barbuda",ATG,,,,,Kph,Storm,"Tropical cyclone",--,0,0,0,Inez,1966-0072
/11/1983,//1983,"Antigua and Barbuda",ATG,,,,,Km2,Drought,Drought,--,0,75000,0,,1983-9139
17/09/1989,17/09/1989,"Antigua and Barbuda",ATG,,,,,Kph,Storm,"Tropical cyclone",--,2,8030,80000,Hugo,1989-0115
27/08/1990,27/08/1990,"Antigua and Barbuda",ATG,,,,,Kph,Storm,"Tropical cyclone",--,0,0,0,Gustav,1990-0052
05/09/1995,07/09/1995,"Antigua and Barbuda",ATG,,,,220,Kph,Storm,"Tropical cyclone",--,2,3702,350000,Luis,1995-0192
20/09/1998,29/09/1998,"Antigua and Barbuda",ATG,"Liberta, Crabbe Hill, Five Islands, All Saint Village, Bolans",,,210,Kph,Storm,"Tropical cyclone",--,2,2025,100000,Georges,1998-0383
20/10/1999,20/10/1999,"Antigua and Barbuda",ATG,"Crab's Hill, Five Isl., Cobbs Cross",,,160,Kph,Storm,"Tropical cyclone",--,1,2534,0,Jose,1999-0438
17/11/1999,19/11/1999,"Antigua and Barbuda",ATG,,,,215,Kph,Storm,"Tropical cyclone",--,1,3423,0,Lenny,1999-0525
15/10/2008,16/10/2008,"Antigua and Barbuda",ATG,"All country affected (no more data)",,,,Kph,Storm,"Tropical cyclone",Flood,0,25800,0,"Hurricane ""Omar""",2008-0604
29/08/2010,31/08/2010,"Antigua and Barbuda",ATG,"All country affected (no data)",,,142,Kph,Storm,"Tropical cyclone",Flood,0,5000,12600,"Hurricane Earl",2010-0468
06/09/2017,06/09/2017,"Antigua and Barbuda",ATG,"Barbuda, St John and St George districts (Crosbies, Fort Road, Clare Hall, Grays Farm, Pigotts) (Antigua)",,,295,Kph,Storm,"Tropical cyclone",--,1,1400,150000,"Hurricane 'Irma'",2017-0381
15/01/1944,15/01/1944,Argentina,ARG,"San Juan","31.6 S","68.5 W",7.8,Richter,Earthquake,"Ground movement",--,10000,155000,0,,1944-0002
18/12/1949,18/12/1949,Argentina,ARG,"Tierra del Fuego",,,,Richter,Earthquake,"Ground movement",--,0,5000,0,,1949-0017
/07/1958,/07/1958,Argentina,ARG,,,,,Km2,Flood,--,--,360,0,0,,1958-0036
16/08/1965,16/08/1965,Argentina,ARG,"Mendoza, Las Cuevas",,,,,Landslide,Landslide,--,45,0,0,,1965-0048
28/02/1966,28/02/1966,Argentina,ARG,"North West",,,,Km2,Flood,"Riverine flood",--,62,120000,30000,,1966-0031
10/10/1967,10/10/1967,Argentina,ARG,"Buenos Aires suburbs",,,,Km2,Flood,--,--,56,212000,3000,,1967-0064
04/01/1970,04/01/1970,Argentina,ARG,Mendoza,,,,Km2,Flood,--,--,36,0,25000,,1970-0013
04/01/1972,04/01/1972,Argentina,ARG,"Buenos Aires",,,,°C,"Extreme temperature ","Heat wave",--,100,0,0,,1972-0014
01/01/1973,01/01/1973,Argentina,ARG,"San Justo",,,,Kph,Storm,"Convective storm",--,60,300,0,,1973-0002
/02/1974,/02/1974,Argentina,ARG,"Santiago Del Estero",,,,Kph,Storm,--,--,100,100000,0,,1974-0011
13/03/1975,13/03/1975,Argentina,ARG,"Nequen province",,,,Kph,Storm,--,--,20,0,0,,1975-0023
23/11/1977,23/11/1977,Argentina,ARG,"Cardoba, Buenos Aires, Caucete, Bragado San Juan province","31.03 S","67.77 W",7.4,Richter,Earthquake,"Ground movement",--,70,40100,80000,,1977-0137
/01/1977,/01/1977,Argentina,ARG,"North-East, Central",,,,Km2,Flood,"Riverine flood",--,0,2500,0,,1977-0146
/01/1978,/01/1978,Argentina,ARG,"Central, Northern",,,,Km2,Flood,--,--,0,1600,0,,1978-0004
30/10/1978,30/10/1978,Argentina,ARG,Cordoba,,,,Kph,Storm,--,--,5,100,0,,1978-0127
/05/1979,/05/1979,Argentina,ARG," Formosa, Misiones",,,,Km2,Flood,--,--,0,20000,0,,1979-0044
15/03/1980,15/03/1980,Argentina,ARG,Northwestern,,,,Km2,Flood,--,--,10,4000,0,,1980-0035
01/05/1980,01/05/1980,Argentina,ARG,"Buenos Aires province",,,,Km2,Flood,--,--,31,36000,0,,1980-0042
/12/1982,/12/1982,Argentina,ARG,,,,,Km2,Flood,"Riverine flood",--,0,50000,0,,1982-0158
/05/1983,/05/1983,Argentina,ARG,"Northeast region",,,,Km2,Flood,--,--,0,5830000,1000000,,1983-0074
/08/1983,/10/1983,Argentina,ARG,,,,,Km2,Flood,--,--,0,250000,800000,,1983-0527
/01/1984,/01/1984,Argentina,ARG,"Vescupio, Northeast, Northwestern provinces",,,,,Landslide,Landslide,--,30,12014,0,,1984-0006
26/01/1985,26/01/1985,Argentina,ARG,"Mendoza province","32.48 S","68.52 W",5.9,Richter,Earthquake,"Ground movement",--,6,45238,0,,1985-0024
/10/1985,/10/1985,Argentina,ARG,"Buenos Aires",,,64000,Km2,Flood,--,--,12,206000,1300000,,1985-0113
30/05/1985,30/05/1985,Argentina,ARG,"Berisso, Moron, Avellaneda, San Martin, La Plata, General Sarmiento, San Isidro, Pilar, 3 de Febrero, General Rodriguez, San Fernando, Escobar, Esteban Etcheverria, Merlo, Quilmes, Berazategui, San Vicente, Lomas de Zamora, Florencio Valencia, Ensenada, Lanus, Almirante Brown",,,78650,Km2,Flood,"Riverine flood",--,25,1000000,230000,,1985-0165
11/04/1986,06/05/1986,Argentina,ARG,"Chaco, Entre Rios, Formosa, Santa Fe provinces",,,269500,Km2,Flood,--,--,3,204000,0,,1986-0038
/12/1986,/12/1986,Argentina,ARG,"La Riojaprovince",,,,Kph,Storm,"Convective storm",--,1,1000,0,,1986-0137
22/01/1987,22/01/1987,Argentina,ARG,"Lanin area (Neuquen province), El Bolson area (Chubut province), Rio Negro province",,,,Km2,Wildfire,"Forest fire",--,0,152752,100000,,1987-0002
/04/1987,/04/1987,Argentina,ARG,"Northwest Buenos Aires province",,,,Km2,Flood,--,--,0,12000,0,,1987-0078
/01/1987,/01/1987,Argentina,ARG,,,,,Kph,Storm,--,--,1,1000,10000,,1987-0331
23/03/1988,23/03/1988,Argentina,ARG,"Buenos Aires province",,,,Km2,Flood,"Riverine flood",--,25,4600000,490000,,1988-0116
/04/1990,/04/1990,Argentina,ARG,"Buenos Aires",,,,Km2,Flood,--,--,21,2000,0,,1990-0638
13/08/1991,13/08/1991,Argentina,ARG,"Santa Cruz","45.54 S","72.58 W",,,"Volcanic activity","Ash fall",--,0,63200,0,"Mt Hudson",1991-0765
01/01/1992,06/01/1992,Argentina,ARG,"Minas, Cruz del Eje, San Justo, Punilla, Rio Seco (Cordoba province), Chaco, Corrientes, Santa Fe, Buenos Aires provinces",,,,Km2,Flood,"Flash flood","Broken Dam/Burst ban",45,2000,250000,,1992-0016
/02/1992,/02/1992,Argentina,ARG,,,,,Vaccinated,Epidemic,"Bacterial disease",--,67,3883,0,Cholera,1992-0041
01/04/1992,02/07/1992,Argentina,ARG,"Formosa, Misiones, Corrientes, Chaco, Sante FE, Entre Rios, Buenos Aires provinces",,,,Km2,Flood,"Riverine flood",--,0,86074,260000,,1992-0075
11/05/1993,15/05/1993,Argentina,ARG,"Junin, General Viamonte, Castelli, General Pinto, Las Flores, General Belgrano, Chascomas, 25 de Mayo, Roque Perez,  General Villegas (Buenos Aires province)",,,247100,Km2,Flood,"Riverine flood",--,0,0,400000,,1993-0027
06/02/1993,06/02/1993,Argentina,ARG,"River Plate area",,,100,Kph,Storm,--,--,15,8000,50000,,1993-0116
/01/1993,/01/1993,Argentina,ARG,"Chaco, Sante Fe provinces",,,,Km2,Flood,--,--,0,0,92000,,1993-0496
/09/1993,/09/1993,Argentina,ARG,"Buenos Aires province",,,40468,Km2,Flood,"Riverine flood",--,0,0,600000,,1993-0497
21/01/1994,21/01/1994,Argentina,ARG,"Near Puerto Madryn, Santa Rosa province, Pampa",,,4300,Km2,Wildfire,"Land fire (Brush, Bush, Pastur",--,24,0,0,,1994-0611
21/01/1995,21/01/1995,Argentina,ARG,Posadas,,,,Km2,Flood,"Flash flood",--,0,1000,0,,1995-0005
17/03/1995,17/03/1995,Argentina,ARG,"Sante Fe, Pilcomayo",,,,Km2,Flood,"Riverine flood",--,0,1500,0,,1995-0044
10/04/1995,10/04/1995,Argentina,ARG,"Buenos Aires Province",,,,Kph,Storm,--,--,6,6000,0,,1995-0049
/09/1995,/09/1995,Argentina,ARG,"Rawson, sarmiento, El Maiten, Epuyen, Alto Rio Surgen, Cholila, El Hoyo y Carrenleufeu",,,,°C,"Extreme temperature ","Cold wave",--,0,25000,0,,1995-0221
04/11/1997,04/11/1997,Argentina,ARG,"Corrientes Province",,,,Km2,Flood,--,--,0,12500,0,,1997-0269
07/02/1998,07/02/1998,Argentina,ARG,"Buenos Aires",,,,Kph,Storm,--,--,0,4000,0,,1998-0029
11/04/1998,24/06/1998,Argentina,ARG,"Corrientes, Chaco, Entre Rios, Santa Fe, Misiones, Formosa Provinces",,,35000,Km2,Flood,--,--,19,360000,1100000,,1998-0080
/01/1999,/01/1999,Argentina,ARG,"Patagonia Province",,,372,Km2,Wildfire,"Forest fire",--,0,0,0,,1999-0048
09/03/2000,17/03/2000,Argentina,ARG,"Catamarca, Cordoba, Jujuy, La Rioja, Santiago del Estero, Salta,Tucuman provinces  ",,,,Km2,Flood,"Riverine flood",--,7,6000,0,,2000-0116
15/05/2000,15/05/2000,Argentina,ARG,"Avellaneda, Berisso, Lanus, Quilmes, San Fernando, San Miguel districts (Buenos Aires province), Rosario district (Santa Fe province), Parana city (Entre Rios province); Buenos Aires city (Buenos Aires D.f. province), La Pampa, La Cordoba  provinces ",,,,Km2,Flood,--,--,4,30040,0,,2000-0255
17/06/2000,17/06/2000,Argentina,ARG,"Buenos Aires, Sante Fe, Formosa, Santa Cruz provinces",,,0,°C,"Extreme temperature ","Cold wave",--,15,300,0,,2000-0421
/09/2000,/09/2000,Argentina,ARG,"Neugen, Rio Negro, Chubut, Santa Cruz (Patagonia region)",,,,Kph,Storm,"Convective storm",--,0,0,0,,2000-0607
09/11/2000,16/11/2000,Argentina,ARG,"Buenos Aires, Cordoba, LaPampa, Santa Fe provinces",,,,Km2,Flood,--,--,0,0,300000,,2000-0733
22/11/2000,22/11/2000,Argentina,ARG,"Canada de Gomez city (Iriondo disctrict, Santa Fe province)",,,,Km2,Flood,--,--,2,1800,0,,2000-0776
27/12/2000,27/12/2000,Argentina,ARG,"Buenos Aires D.f., Buenos Aires provinces",,,96,Kph,Storm,"Convective storm",--,1,430,0,,2000-0839
/12/2000,/12/2000,Argentina,ARG,"La Pampa, Mendoza, San Luis, Formosa provinces",,,20500,Km2,Wildfire,"Forest fire",--,8,0,0,,2000-0853
10/01/2001,10/01/2001,Argentina,ARG,"Buenos Aires province",,,200,Kph,Storm,--,--,4,650,0,,2001-0012
21/03/2001,21/03/2001,Argentina,ARG,"Buenos Aires province",,,,Km2,Flood,--,--,0,600,0,,2001-0121
05/04/2001,05/04/2001,Argentina,ARG,"Palma Sola city (Santa Barbara district, Jujuy province), Salta and Catamarca provinces",,,,Kph,Storm,--,--,16,2000,15000,,2001-0147
/07/2001,/07/2001,Argentina,ARG,"Chubut, Neuquen, Rio Negro (Patagonia), Catamarca, Buenos Aires provinces",,,-28,°C,"Extreme temperature ","Cold wave",--,14,3000,0,,2001-0377
/07/2001,/07/2001,Argentina,ARG,"Adolfo Alsina, Avellaneda, Conesa, El Cuy, General Roca, Pichi Mahuida districts (Rio Negro province)",,,,Km2,Flood,--,--,0,700,0,,2001-0401
/08/2001,/08/2001,Argentina,ARG,"La Rioja province",,,600,Km2,Wildfire,"Forest fire",--,0,0,0,,2001-0442
01/10/2001,01/12/2001,Argentina,ARG,"Buenos Aires, Cordoba, La Pampa, Santa Fe provinces",,,4200,Km2,Flood,"Riverine flood",--,1,250000,750000,,2001-0582
28/05/2002,28/05/2002,Argentina,ARG,"Aminga, Anillaco, Agua Blanca, Chuquis towns (Castro Barros district, La Rioja Provinve)",-28.937,-66.797,6,Richter,Earthquake,"Ground movement","Slide (land, mud, sn",0,727,0,,2002-0368
/07/2002,/07/2002,Argentina,ARG,"Catamarca, Chaco, Corrientes, Formosa, Jujuy, Misiones, Salta, Santiago Del Estero, Tucuman provinces",,,,°C,"Extreme temperature ","Cold wave",--,0,200,0,,2002-0494
22/10/2002,22/10/2002,Argentina,ARG,"Entre Rios, Santa Fe, Buenos Aires, Buenors Aires D.f. provinces",,,0,Kph,Storm,--,--,3,5000,0,,2002-0723
12/10/2002,12/10/2002,Argentina,ARG,"Buenos Aires, Sante Fe provinces",,,0,Km2,Flood,"Riverine flood",--,4,6000,0,,2002-0727
12/10/2002,02/11/2002,Argentina,ARG,"Buenos Aires, Chubut, Entre Rios, Rio Negro, Santa Fe provinces",,,0,Km2,Flood,"Riverine flood",--,4,6000,0,,2002-0848
10/02/2003,10/02/2003,Argentina,ARG,"Belgrano (Comuna 13 district, Buenos Aires D.f. province), Palermo (Comuna 14 district, Buenos Aires D.f. province), Villa Crespo (Comuna 15 district, Buenos Aires D.f. province), Escobar, General San Martin, Lomas de Zamora, Pilar, Tres de Febrero, La Matanza districts (Buenos Aires province), La Rioja province ",,,0,Km2,Flood,"Riverine flood",--,4,3000,0,,2003-0080
28/04/2003,10/05/2003,Argentina,ARG,"Santa Fe City (La Capital district, Santa Fe province), Garay, General Obligado, Las Colonias, San Cristobal, San Javier, San Justo, San Martin, Vera districts (Santa Fe province)",,,202800,Km2,Flood,"Riverine flood",--,23,160000,1028210,,2003-0196
11/11/2003,13/11/2003,Argentina,ARG,"Sante Fe, Cordoba, Buenos Aires provinces",,,,Kph,Storm,"Convective storm",Flood,12,900,0,,2003-0539
/06/2003,/09/2003,Argentina,ARG,"Buenos Aires, Buenos Aires D.f., Entre Rios, Santa Fe provinces",,,,Km2,Drought,Drought,--,0,0,120000,,2003-9785
01/07/2004,01/07/2004,Argentina,ARG,"Rio Negro, Chubut, Neuquen provinces",,,,Km2,Flood,"Riverine flood",Rain,5,1307,0,,2004-0307
/07/2004,/07/2004,Argentina,ARG,"Mar del Plata city (General Pueyrredon district, Buenos Aires province)",,,-11,°C,"Extreme temperature ","Cold wave",Snow/ice,5,0,0,,2004-0331
06/12/2004,10/12/2004,Argentina,ARG,"Chaco province",,,3230,Km2,Flood,"Riverine flood",--,0,5000,0,,2004-0624
